field	schema	required	dataType	description	comments	exact_mappings	validation
submitter_participant_id	exposure	True	string	Unique identifier of the participant within the study, assigned by the data provider.		CQDG:submitter_participant_id;mCODE.STU3:Patient.Identifier;FHIR:Patient.Identifier;Phenopacket:individual.id;BeaconV2:individual.id	pattern:^[A-Za-z0-9\-\._]{1,64}
alcohol_consumption	exposure	False	string	Indicate current alcohol consumtion based on recommended daily limit.	['Refer to the Canadian Centre on Substance Abuse, for men, no more than 15 drinks a week, with no more than 3 drinks a day most days. No more than 4 drinks on any single occasion. For women, no more than 10 drinks a week, with no more than 2 drinks a day most days. No more than 3 drinks on any single occasion.']		Enum:Alcohol consumption unknown,Alcohol intake exceeds recommended daily limit,Alcohol intake within recommended daily limit,No alcohol consumption
smoking_status	exposure	False	string	Indicate smoking status and history of a participant at the time of the data collection.			Enum:Current reformed smoker for <= 15 years,Current reformed smoker for > 15 years,Current reformed smoker, duration not specified,Current smoker,Lifelong non-smoker (<100 cigarettes smoked in lifetime),Not applicable,Smoking history not documented
physical_activity	exposure	False	string	Indicate how many times per week the participant exercises for at least 30 minutes.			Enum:1-3 times a month,Every day,Less than once a month,Most days but not every day,Never,Not applicable,Once or twice a week,Unknown
submitter_participant_id	follow_up	True	string	Unique identifier of the participant within the study, assigned by the data provider.		CQDG:submitter_participant_id;mCODE.STU3:Patient.Identifier;FHIR:Patient.Identifier;Phenopacket:individual.id;BeaconV2:individual.id	pattern:^[A-Za-z0-9\-\._]{1,64}
age_at_followup	follow_up	False	integer	Participant's age (in days) at time of the follow up event			
disease_status_at_followup	follow_up	True	string	Indicate the participant's disease status at time of follow-up			Enum:Complete remission,Distant progression,Loco-regional progression,No evidence of disease,Partial remission,Progression NOS,Relapse or recurrence,Stable
submitter_participant_id	measurement	True	string	Unique identifier of the participant within the study, assigned by the data provider.		CQDG:submitter_participant_id;mCODE.STU3:Patient.Identifier;FHIR:Patient.Identifier;Phenopacket:individual.id;BeaconV2:individual.id	pattern:^[A-Za-z0-9\-\._]{1,64}
age_at_measurement	measurement	False	integer	Age (in days) of the participant at the time the lab test or measurement was conducted.			
measurement_code	measurement	True	string	Use standartized LOINC (Logical Observation Identifiers Names and Codes) code to represent quantitative, ordinal, or categorical measurements.	['Provide code in Compact URI (CURIE) pattern. LOINC URL: https://loinc.org/{code}']		pattern:^LOINC:[0-9]{1,5}-[0-9]$
measurement_term	measurement	False	string	Provide the standardized and human readable term derived from the coding system associated with the measurement_code			
measurement_result_numeric	measurement	False	decimal	The numeric result of the lab test or measurement.			
measurement_unit	measurement	False	string	Indicate the unit of measurement for the result using LOINC code.			
measurement_result_categorical	measurement	False	string	The categorical result of the lab test or measurement.			
submitter_treatment_id	medication	True	string	Unique identifier of the treatment, assigned by the data provider.			pattern:^[A-Za-z0-9\-\._]{1,64}$
drug_code	medication	True	string	Provide the standardized code from RxNorm, KEGG,  PubChem or NCIt to represent the drug.	['Provide code in Compact URI (CURIE) pattern.  RxNorm URL: https://rxnav.nlm.nih.gov/REST/rxcui/{code}  KEGG URL: https://www.kegg.jp/entry/{code}  PubChem URL: https://pubchem.ncbi.nlm.nih.gov/compound/{code}  NCIt URL: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C{code}']		pattern:^RxNorm:\d{1,8}$|^KEGG:D\\d{5}$|^PubChem:\\d{1,9}$|^NCIt:C\\d{1,7}$
drug_term	medication	False	string	Provide the standardized and human readable term derived from the coding system associated with the drug_code			
drug_dose_units	medication	False	string	Indicate units used to record drug dose.			Enum:IU/kg,IU/m2,Not available,g/m2,mg,mg/kg,mg/m2,ug/m2
prescribed_cumulative_drug_dose	medication	False	decimal	Indicate the total prescribed cumulative drug dose in the same units specified in drug_dose_units.			
actual_cumulative_drug_dose	medication	False	decimal	Indicate the total actual cumulative drug dose in the same units specified in drug_dose_units.			
study_id	participant	True	string	Unique identifier of the study.		CQDG:study_id	
submitter_participant_id	participant	True	string	Unique identifier of the participant within the study, assigned by the data provider.		CQDG:submitter_participant_id;mCODE.STU3:Patient.Identifier;FHIR:Patient.Identifier;Phenopacket:individual.id;BeaconV2:individual.id	pattern:^[A-Za-z0-9\-\._]{1,64}
age_at_enrollment	participant	False	integer	Age (in days) of participant at time of enrollment into the study			
vital_status	participant	False	string	Participant's last known state of living or deceased.		CQDG:vital_status;Phenopacket:individual.vital_status;BeaconV2:individual.vital_status	Enum:Alive,Deceased,Missing,Not Applicable,Not Collected,Not Provided,Restricted Access
cause_of_death	participant	False	string	Indicate the cause of a participant's death.			Enum:Died of cancer,Died of other reasons,Missing,Not Applicable,Not Collected,Not Provided,Restricted Access
age_at_death	participant	False	integer	Age of participant (in days) at time of death			
submitter_treatment_id	procedure	True	string	Unique identifier of the treatment, assigned by the data provider.			pattern:^[A-Za-z0-9\-\._]{1,64}$
procedure_code	procedure	True	string	Use code from NCIt, SNOMED-CT, UMLS or CCI to represent the procedure performed.	['Provide code in Compact URI (CURIE) pattern.  NCIt URL: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C<code>  SNOMED-CT URL: http://snomed.info/id/<code>  UMLS URL: https://uts.nlm.nih.gov/uts/umls/concept/<code>']		pattern:^NCIt:C\d{1,7}$|^SNOMEDCT:\d{6,9}$|^UMLS:C\d{7}$|^CCI:\d\.[A-Z]{2}\.\d{2}\.[A-Z]{2}$
procedure_term	procedure	False	string	Provide the standardized and human readable term derived from the coding system associated with the procedure_code			
procedure_body_site_code	procedure	False	string	Indicate the ICD-O-3 topography code to describe the site of the surgery if applicable. Please use C80.9 if the site is Unkown.	['Refer to the International Classification of Diseases for Oncology, 3rd Edition (WHO ICD-O-3) manual for guidelines at https://apps.who.int/iris/handle/10665/42344']	mCODE.STU3:Specimen.collection.bodySite;FHIR:Specimen.collection.bodySite	pattern:^[C][0-9]{2}(.[0-9]{1})?$
procedure_body_site_term	procedure	False	string	Provide the standardized and human readable term derived from the coding system associated with the procedure_body_site_code			
submitter_treatment_id	radiation	True	string	Unique identifier of the treatment, assigned by the data provider.			pattern:^[A-Za-z0-9\-\._]{1,64}$
radiation_modality	radiation	True	string	Indicate NCIt code to denote the modality of radiation therapy.			Enum:Electron Beam (NCIT:C28039),High-LET Heavy Ion Therapy (NCIT:C15458),Internal Radiation Therapy (NCIT:C15195),Photon Beam Radiation Therapy (NCIT:C104914),Proton Radiation (NCIT:C40431).
radiation_fractions	radiation	False	integer	Indicate the total number of fractions delivered as part of treatment.			
radiation_dosage	radiation	False	integer	Indicate the total dose given in units of Gray (Gy).			
anatomical_site_irradiated_code	radiation	False	string	Indicate the ICD-O-3 topography code to describe the irradiated site of radiation if applicable. Please use C80.9 if the site is Unkown.	['Refer to the International Classification of Diseases for Oncology, 3rd Edition (WHO ICD-O-3) manual for guidelines at https://apps.who.int/iris/handle/10665/42344']	mCODE.STU3:Specimen.collection.bodySite;FHIR:Specimen.collection.bodySite	pattern:^[C][0-9]{2}(.[0-9]{1})?$
anatomical_site_irradiated_term	radiation	False	string	Provide the standardized and human readable term derived from the coding system associated with the anatomical_site_irradiated_code			
submitter_participant_id	specimen	True	string	Unique identifier of the participant within the study, assigned by the data provider.		CQDG:submitter_participant_id;mCODE.STU3:Patient.Identifier;FHIR:Patient.Identifier;Phenopacket:individual.id;BeaconV2:individual.id	pattern:^[A-Za-z0-9\-\._]{1,64}
submitter_specimen_id	specimen	True	string	Unique identifier of the specimen within the study, assigned by the data provider.		CQDG:submitter_biospecimen_id;mCODE.STU3:Specimen.Identifier;FHIR:Specimen.Identifier;Phenopacket:biosample.id;BeaconV2:biosample.id	pattern:^[A-Za-z0-9\-\._]{1,64}$
specimen_tissue_source_code	specimen	True	string	Indicate the tissue source of the specimen from which a biopsy or other tissue specimen was obtained.  Use codes from NCIt (NCI Thesaurus) or SNOMED-CT (SNOMED Clinical Terms) in Compact URI (CURIE) pattern.		CQDG:biospecimen_tissue_source;mCODE.STU3:Specimen.type;FHIR:Specimen.type;Phenopacket:biosample.sampled_tissue;BeaconV2:biosample.sampled_tissue	pattern:^NCIT:C[0-9]+$|^SNOMEDCT:[0-9]+$
specimen_tissue_source_term	specimen	False	string	Indicate the human readable label for the specimen tissue source code.			
specimen_storage	specimen	False	string	Indicate the method of long term storage for specimen that were not extracted freshly or immediately cultured.		Phenopacket:biosample.sample_storage;BeaconV2:biosample.sample_storage	Enum:Cut slide,Frozen in -70 freezer,Frozen in liquid nitrogen,Frozen in vapour phase,Not Applicable,Other,Paraffin block,RNA later frozen,Unknown
specimen_processing	specimen	False	string	Indicate the technique used to process specimen.		Phenopacket:biosample.sample_processing;BeaconV2:biosample.sample_processing	Enum:Cryopreservation - other,Cryopreservation in dry ice (dead tissue),Cryopreservation in liquid nitrogen (dead tissue),Cryopreservation of live cells in liquid nitrogen,Formalin fixed & paraffin embedded,Formalin fixed - buffered,Formalin fixed - unbuffered,Fresh,Other,Unknown
age_at_specimen_collection	specimen	False	integer	Indicate participant's age( in days) when specimen was collected.			
specimen_anatomic_location_code	specimen	False	string	Indicate the ICD-O-3 topography code for the anatomic location of a specimen when it was collected. Please use C80.9 if the primary site of a specimen is Unkown.	['Refer to the International Classification of Diseases for Oncology, 3rd Edition (WHO ICD-O-3) manual for guidelines at https://apps.who.int/iris/handle/10665/42344.']	mCODE.STU3:Specimen.collection.bodySite;FHIR:Specimen.collection.bodySite	pattern:^[C][0-9]{2}(.[0-9]{1})?$
specimen_anatomic_location_label	specimen	False	string	Provide the human readable label for the specimen anatomic location code.			
specimen_laterality	specimen	False	string	For cancer in a paired organ, indicate the side on which the specimen was obtained.	['Reference caDSR CDE ID 2007875 https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2007875&version=2.0']	mCODE.STU3:Specimen.collection.bodySite.extension.lateralityQualifier;FHIR:Specimen.collection.bodySite.extension.lateralityQualifier	Enum:Left,Not applicable,Right,Unknown
submitter_participant_id	treatment	True	string	Unique identifier of the participant within the study, assigned by the data provider.		CQDG:submitter_participant_id;mCODE.STU3:Patient.Identifier;FHIR:Patient.Identifier;Phenopacket:individual.id;BeaconV2:individual.id	pattern:^[A-Za-z0-9\-\._]{1,64}
submitter_treatment_id	treatment	True	string	Unique identifier of the treatment, assigned by the data provider.			pattern:^[A-Za-z0-9\-\._]{1,64}$
treatment_type	treatment	True	string	The category or method of treatment administered			Enum:Medication,Pharmacotherapy,Procedure,Radiation therapy,Other
age_at_treatment	treatment	False	integer	Age (in days) of the participant at the time the treatment was administered.			
treatment_duration	treatment	False	integer	The length of time (in days) over which the treatment was administered.			
treatment_intent	treatment	False	string	The purpose of the treatment or the desired effect or outcome resulting from the treatment.			Enum:Curative,Diagnostic,Forensic,Guidance,Palliative,Preventative,Screening,Supportive
treatment_response	treatment	False	string	The outcome of the treatment, indicating how the patient responded to the intervention			Enum:Clinical remission,Disease Progression,Improvement of symptoms,No improvement of symptoms,No sign of disease,Not applicable,Partial Response,Stable Disease,Treatment cessation due to toxicity,Worsening of symptoms
treatment_status	treatment	False	string	Indicate the donor's status of the prescribed treatment.			Enum:Not available,Other,Patient choice (stopped or interrupted treatment),Physician decision (stopped or interrupted treatment),Treatment completed as prescribed,Treatment incomplete because patient died,Treatment incomplete due to technical or organizational problems,Treatment ongoing,Treatment stopped due to acute toxicity,Treatment stopped due to lack of efficacy (disease progression)
